"""","歳入総額(百万円)","地方税(百万円)","地　方譲与税(百万円)","利子割交付金(百万円)","配当割交付金(百万円)","株式等譲渡所得割交付金(百万円)","地　方消費税交付金(百万円)","ｺﾞﾙﾌ場利用税交付金(百万円)","特別地方消費税交付金(百万円)","自動車取得税交付金(百万円)","地　方特　例交付金(百万円)","地  方交付税(百万円)"
"平成24年度","474193.47000000003","125935.197","3606.108","515.749","391.507","71.973","8548.274","308.003","0.0","1009.647","525.673","128165.615"
"平成25年度","492400.655","126233.542","3501.033","507.894","747.385","971.159","8475.418","293.922","0.0","866.088","508.12","129105.004"
"","","","","","","","","","","","",""
" 和歌山市","142982.475","57978.319","826.818","221.954","326.644","424.458","3368.687","22.231","0.0","176.961","241.023","12340.12"
" 海 南 市","25269.911","7511.038","207.531","28.507","41.961","54.532","456.269","5.779","0.0","36.531","24.209","5911.577"
" 橋 本 市","26414.025","7011.378","228.22","36.326","53.344","69.222","483.981","29.498","0.0","62.311","34.769","7831.258"
" 有 田 市","13152.626","3749.007","125.197","13.678","20.199","26.305","252.064","0.0","0.0","20.579","9.676","3873.806"
" 御 坊 市","13213.261","3405.603","87.561","10.905","16.081","20.924","247.867","0.0","0.0","23.873","7.124","3836.827"
" 田 辺 市","51619.511","8281.003","359.965","34.311","50.506","65.64","693.475","2.123","0.0","97.35","26.616","16123.552"
" 新 宮 市","17814.398","3259.337","97.2","13.497","19.887","25.864","301.531","0.0","0.0","24.724","9.591","6312.724"
" 紀の川市","32348.23","6595.795","263.464","31.106","45.715","59.354","497.883","40.262","0.0","71.087","32.525","10861.748"
" 岩 出 市","15854.639","5368.013","118.359","27.573","40.695","52.978","361.645","7.134","0.0","32.223","49.499","3369.033"
"","","","","","","","","","","","",""
" 紀美野町","8784.216","849.037","71.014","4.272","6.238","8.067","82.482","33.519","0.0","19.204","2.097","4101.838"
"","","","","","","","","","","","",""
" かつらぎ町","11643.103","2083.906","104.306","7.508","11.021","14.299","146.749","7.689","0.0","28.457","6.34","3925.647"
" 九度山町","4368.086","427.329","24.817","2.282","3.344","4.333","34.373","0.0","0.0","6.661","0.526","1725.429"
" 高 野 町","3866.05","366.772","33.393","1.934","2.829","3.662","44.465","3.127","0.0","9.046","0.168","1891.248"
"","","","","","","","","","","","",""
" 湯 浅 町","8081.224","1148.786","42.25","5.206","7.65","9.934","114.752","0.0","0.0","11.519","3.216","2194.859"
" 広 川 町","5154.296","771.791","37.745","2.7","3.985","5.189","54.292","0.0","0.0","10.241","2.879","1913.321"
" 有田川町","17083.69","2923.841","167.399","11.383","16.825","21.924","219.002","37.26","0.0","45.578","10.017","7039.832"
"","","","","","","","","","","","",""
" 美 浜 町","4026.129","646.274","21.745","3.846","5.657","7.349","56.974","0.0","0.0","5.889","2.767","1554.59"
" 日 高 町","4381.113","676.087","41.809","3.467","5.211","6.863","48.578","0.0","0.0","11.245","3.893","1811.778"
" 由 良 町","4599.723","853.257","27.751","2.527","3.706","4.806","52.801","0.0","0.0","7.488","1.706","1502.414"
" 印 南 町","5954.001","920.229","66.046","3.173","4.656","6.04","63.753","33.652","0.0","17.932","3.267","2246.445"
" みなべ町","10219.899","1614.481","84.237","5.877","8.572","11.076","113.617","0.0","0.0","22.803","4.195","4201.763"
" 日高川町","11202.096","1150.957","97.347","4.065","5.967","7.74","80.243","11.256","0.0","26.49","3.241","5318.189"
"","","","","","","","","","","","",""
" 白 浜 町","13335.813","3162.152","104.671","8.841","13.017","16.921","205.424","13.643","0.0","27.101","8.54","3838.928"
" 上富田町","6272.526","1505.809","59.199","6.481","9.562","12.447","114.454","30.235","0.0","15.968","9.252","1834.796"
" すさみ町","4388.037","415.918","26.881","1.427","2.097","2.723","36.319","0.0","0.0","7.237","0.597","2101.963"
"","","","","","","","","","","","",""
" 那智勝浦町","10211.852","1565.429","63.683","6.055","8.817","11.38","143.033","16.514","0.0","17.237","4.162","3126.882"
" 太 地 町","3192.162","254.274","10.423","1.253","1.852","2.414","23.392","0.0","0.0","2.836","0.776","1036.39"
" 古座川町","4594.698","196.667","36.047","0.912","1.323","1.703","24.899","0.0","0.0","9.695","0.479","1971.02"
" 北 山 村","1290.511","68.446","6.838","0.187","0.275","0.36","4.397","0.0","0.0","1.868","0.0","701.315"
" 串 本 町","11082.354","1472.607","59.117","6.641","9.749","12.652","148.017","0.0","0.0","15.954","4.97","4605.712"
